"Gene > Proteins > Systematic Name","Gene > Proteins > Standard Name","Gene > Proteins > Protein Domains > Name","Gene > Proteins > Protein Domains > Description","Gene > Proteins > Protein Domains > Start","Gene > Proteins > Protein Domains > End","Gene > Proteins > Protein Domains > Method","Gene > Proteins > Protein Domains > Id"
"YDR541C","Ydr541Cp","PF01370","Epimerase; NAD-dependent epimerase/dehydratase","5","260","Pfam","1974789"
"YDR541C","Ydr541Cp","PTHR10366","","1","342","PANTHER","1974790"
"YDR541C","Ydr541Cp","PTHR10366:SF496","","1","342","PANTHER","1974791"
"YDR541C","Ydr541Cp","SSF51735","NAD(P)-binding domain","2","337","SUPERFAMILY","1974792"
"YDR542W","Pau10p","PF00660","SRP1_TIP1; Stress-induced protein SRP1/TIP1","22","113","Pfam","1974793"
"YDR542W","Pau10p","PS00724","SRP1_TIP1; Stress-induced protein SRP1/TIP1","96","102","PROSITE","1974794"
"YDR542W","Pau10p","PTHR31002","","1","120","PANTHER","1974795"
"YDR542W","Pau10p","PTHR31002:SF26","","1","120","PANTHER","1974796"
"YDR543C","Ydr543Cp","PF04318","DUF468; Protein of unknown function DUF468","16","99","Pfam","1974797"
"YDR545W","Yrf1-1p","G3DSA:3.40.50.300","","781","990","GENE3D","1943500"
"YDR545W","Yrf1-1p","G3DSA:3.40.50.300","","1015","1247","GENE3D","1943501"
"YDR545W","Yrf1-1p","PF00270","DEAD; DEAD/DEAH box helicase domain","802","961","Pfam","1943502"
"YDR545W","Yrf1-1p","PF00271","Helicase_C; Helicase, C-terminal","1030","1133","Pfam","1943503"
"YDR545W","Yrf1-1p","PF11603","Sir1; Sir1, ORC-binding domain","3","88","Pfam","1943504"
"YDR545W","Yrf1-1p","PS51192","HELICASE_ATP_BIND_1; Helicase superfamily 1/2, ATP-binding domain","797","974","PROSITE","1943505"
"YDR545W","Yrf1-1p","PS51194","HELICASE_CTER; Helicase, C-terminal","1031","1180","PROSITE","1943506"
"YDR545W","Yrf1-1p","PTHR14074","","571","1757","PANTHER","1943507"
"YDR545W","Yrf1-1p","PTHR14074:SF24","","571","1757","PANTHER","1943508"
"YDR545W","Yrf1-1p","SM00487","DEXDc; Helicase superfamily 1/2, ATP-binding domain","783","996","SMART","1943509"
"YDR545W","Yrf1-1p","SM00490","HELICc; Helicase, C-terminal","1056","1136","SMART","1943510"
"YDR545W","Yrf1-1p","SSF52540","P-loop containing nucleoside triphosphate hydrolase","800","855","SUPERFAMILY","1943511"
"YDR545W","Yrf1-1p","SSF52540","P-loop containing nucleoside triphosphate hydrolase","882","959","SUPERFAMILY","1943512"
"YDR545W","Yrf1-1p","SSF52540","P-loop containing nucleoside triphosphate hydrolase","1008","1143","SUPERFAMILY","1943513"
"YEL002C","Wbp1p","PF03345","DDOST_48kD; Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit","26","421","Pfam","1955485"
"YEL002C","Wbp1p","PTHR10830","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit","6","419","PANTHER","1955486"
"YEL003W","Gim4p","G3DSA:1.10.287.370","","1","111","GENE3D","1963628"
"YEL003W","Gim4p","PF01920","Prefoldin_2; Prefoldin beta-like","9","110","Pfam","1963629"
"YEL003W","Gim4p","PTHR13303","Prefoldin subunit 2","3","110","PANTHER","1963630"
"YEL003W","Gim4p","PTHR13303:SF1","","3","110","PANTHER","1963631"
"YEL003W","Gim4p","SSF46579","","9","105","SUPERFAMILY","1963632"
"YEL004W","Yea4p","PF08449","UAA; UAA transporter","4","325","Pfam","1963624"
"YEL004W","Yea4p","PTHR10778","","4","333","PANTHER","1963625"
"YEL004W","Yea4p","PTHR10778:SF22","","4","333","PANTHER","1963626"
"YEL004W","Yea4p","TIGR00803","nst","94","323","TIGRFAM","1963627"
"YEL005C","Vab2p","PD126251","","10","263","ProDom","1963623"
"YEL006W","Yea6p","G3DSA:1.50.40.10","Mitochondrial carrier domain","32","330","GENE3D","1963219"
"YEL006W","Yea6p","PF00153","Mito_carr; Mitochondrial substrate/solute carrier","42","128","Pfam","1963220"
"YEL006W","Yea6p","PF00153","Mito_carr; Mitochondrial substrate/solute carrier","136","226","Pfam","1963221"
"YEL006W","Yea6p","PF00153","Mito_carr; Mitochondrial substrate/solute carrier","242","331","Pfam","1963222"
"YEL006W","Yea6p","PR00926","MITOCARRIER; Mitochondrial carrier protein","41","54","PRINTS","1963223"
"YEL006W","Yea6p","PR00926","MITOCARRIER; Mitochondrial carrier protein","54","68","PRINTS","1963224"
"YEL006W","Yea6p","PR00926","MITOCARRIER; Mitochondrial carrier protein","103","123","PRINTS","1963225"
"YEL006W","Yea6p","PR00926","MITOCARRIER; Mitochondrial carrier protein","151","169","PRINTS","1963226"
"YEL006W","Yea6p","PR00926","MITOCARRIER; Mitochondrial carrier protein","250","272","PRINTS","1963227"
"YEL006W","Yea6p","PS50920","SOLCAR; Mitochondrial substrate/solute carrier","36","128","PROSITE","1963228"
"YEL006W","Yea6p","PS50920","SOLCAR; Mitochondrial substrate/solute carrier","136","225","PROSITE","1963229"
"YEL006W","Yea6p","PS50920","SOLCAR; Mitochondrial substrate/solute carrier","241","329","PROSITE","1963230"
"YEL006W","Yea6p","PTHR24089","","40","331","PANTHER","1963231"
"YEL006W","Yea6p","PTHR24089:SF550","","40","331","PANTHER","1963232"
"YEL006W","Yea6p","SSF103506","Mitochondrial carrier domain","34","325","SUPERFAMILY","1963233"
"YEL007W","Mit1p","PF09729","Gti1_Pac2; Gti1/Pac2 family","6","193","Pfam","1963620"
"YEL007W","Mit1p","PTHR28027","","1","653","PANTHER","1963621"
"YEL007W","Mit1p","PTHR28027:SF3","","1","653","PANTHER","1963622"
"YEL009C","Gcn4p","G3DSA:1.20.5.170","","248","277","GENE3D","1939996"
"YEL009C","Gcn4p","PF07716","bZIP_2; Basic-leucine zipper domain","225","276","Pfam","1939997"
"YEL009C","Gcn4p","PS00036","BZIP_BASIC; Basic-leucine zipper domain","231","245","PROSITE","1939998"
"YEL009C","Gcn4p","PS50217","BZIP; Basic-leucine zipper domain","231","276","PROSITE","1939999"
"YEL009C","Gcn4p","PTHR11462","","34","279","PANTHER","1940000"
"YEL009C","Gcn4p","PTHR11462:SF45","","34","279","PANTHER","1940001"
"YEL009C","Gcn4p","SM00338","BRLZ; Basic-leucine zipper domain","223","280","SMART","1940002"
"YEL009C","Gcn4p","SSF57959","","225","279","SUPERFAMILY","1940003"
"YEL011W","Glc3p","G3DSA:2.60.40.10","Immunoglobulin-like fold","63","154","GENE3D","1953962"
"YEL011W","Glc3p","G3DSA:2.60.40.1180","","604","704","GENE3D","1953963"
"YEL011W","Glc3p","G3DSA:3.20.20.80","","155","603","GENE3D","1953964"
"YEL011W","Glc3p","PF00128","Alpha-amylase; Glycosyl hydrolase, family 13, catalytic domain","221","304","Pfam","1953965"
"YEL011W","Glc3p","PF02806","Alpha-amylase_C; Alpha-amylase/branching enzyme, C-terminal all beta","608","702","Pfam","1953966"
"YEL011W","Glc3p","PF02922","CBM_48; Glycoside hydrolase, family 13, N-terminal","62","148","Pfam","1953967"
"YEL011W","Glc3p","PIRSF000463","GlgB; 1,4-alpha-glucan-branching enzyme, GlgB","21","704","PIRSF","1953968"
"YEL011W","Glc3p","PTHR43651","","7","703","PANTHER","1953969"
"YEL011W","Glc3p","SM00642","Aamy; Glycosyl hydrolase, family 13, catalytic domain","180","573","SMART","1953970"
"YEL011W","Glc3p","SSF51011","","605","703","SUPERFAMILY","1953971"
"YEL011W","Glc3p","SSF51445","Glycoside hydrolase superfamily","196","576","SUPERFAMILY","1953972"
"YEL011W","Glc3p","SSF81296","Immunoglobulin E-set","57","159","SUPERFAMILY","1953973"
"YEL012W","Ubc8p","G3DSA:3.10.110.10","Ubiquitin-conjugating enzyme/RWD-like","1","215","GENE3D","1951009"
"YEL012W","Ubc8p","PF00179","UQ_con; Ubiquitin-conjugating enzyme E2","13","142","Pfam","1951010"
"YEL012W","Ubc8p","PS00183","UBIQUITIN_CONJUGAT_1; Ubiquitin-conjugating enzyme, active site","73","89","PROSITE","1951011"
"YEL012W","Ubc8p","PS50127","UBIQUITIN_CONJUGAT_2; Ubiquitin-conjugating enzyme E2","26","137","PROSITE","1951012"
"YEL012W","Ubc8p","PTHR24067","","5","177","PANTHER","1951013"
"YEL012W","Ubc8p","PTHR24067:SF215","","5","177","PANTHER","1951014"
"YEL012W","Ubc8p","SM00212","UBCc","4","148","SMART","1951015"
"YEL012W","Ubc8p","SSF54495","Ubiquitin-conjugating enzyme/RWD-like","2","149","SUPERFAMILY","1951016"
"YEL013W","Vac8p","G3DSA:1.25.10.10","Armadillo-like helical","1","209","GENE3D","1963393"
"YEL013W","Vac8p","G3DSA:1.25.10.10","Armadillo-like helical","210","385","GENE3D","1963394"
"YEL013W","Vac8p","G3DSA:1.25.10.10","Armadillo-like helical","386","577","GENE3D","1963395"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","86","113","Pfam","1963396"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","115","154","Pfam","1963397"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","157","195","Pfam","1963398"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","197","236","Pfam","1963399"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","252","280","Pfam","1963400"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","287","320","Pfam","1963401"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","328","363","Pfam","1963402"
"YEL013W","Vac8p","PF00514","Arm; Armadillo","411","446","Pfam","1963403"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","85","127","PROSITE","1963404"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","126","168","PROSITE","1963405"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","167","209","PROSITE","1963406"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","208","245","PROSITE","1963407"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","251","293","PROSITE","1963408"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","292","334","PROSITE","1963409"
"YEL013W","Vac8p","PS50176","ARM_REPEAT; Armadillo","333","376","PROSITE","1963410"
"YEL013W","Vac8p","PTHR23315","","3","494","PANTHER","1963411"
"YEL013W","Vac8p","PTHR23315:SF202","","3","494","PANTHER","1963412"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","71","114","SMART","1963413"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","115","155","SMART","1963414"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","156","196","SMART","1963415"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","197","237","SMART","1963416"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","240","280","SMART","1963417"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","281","321","SMART","1963418"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","322","363","SMART","1963419"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","364","405","SMART","1963420"
"YEL013W","Vac8p","SM00185","ARM; Armadillo","406","446","SMART","1963421"
"YEL013W","Vac8p","SSF48371","Armadillo-type fold","87","494","SUPERFAMILY","1963422"
"YEL015W","Edc3p","G3DSA:3.40.50.10260","YjeF N-terminal domain","253","542","GENE3D","1963612"
"YEL015W","Edc3p","PF03853","YjeF_N; YjeF N-terminal domain","306","498","Pfam","1963613"
"YEL015W","Edc3p","PF09532","FDF; FDF domain","99","201","Pfam","1963614"
"YEL015W","Edc3p","PS51385","YJEF_N; YjeF N-terminal domain","288","527","PROSITE","1963615"
"YEL015W","Edc3p","PS51512","DFDF; DFDF domain","93","129","PROSITE","1963616"
"YEL015W","Edc3p","PTHR13612","","66","543","PANTHER","1963617"
"YEL015W","Edc3p","SM01199","FDF; FDF domain","99","196","SMART","1963618"
"YEL015W","Edc3p","SSF64153","YjeF N-terminal domain","291","528","SUPERFAMILY","1963619"
"YEL016C","Npp2p","G3DSA:3.40.720.10","Alkaline phosphatase-like, alpha/beta/alpha","74","487","GENE3D","1963607"
"YEL016C","Npp2p","PF01663","Phosphodiest; Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase","78","437","Pfam","1963608"
"YEL016C","Npp2p","PTHR10151","","33","476","PANTHER","1963609"
"YEL016C","Npp2p","PTHR10151:SF83","","33","476","PANTHER","1963610"
"YEL016C","Npp2p","SSF53649","Alkaline-phosphatase-like, core domain","65","474","SUPERFAMILY","1963611"
"YEL017C-A","Pmp2p","PF08114","PMP1_2; Plasma membrane ATPase proteolipid","1","43","Pfam","1965916"
"YEL017W","Gtt3p","G3DSA:1.10.720.10","","7","43","GENE3D","1963605"
"YEL017W","Gtt3p","PTHR41807","","1","284","PANTHER","1963606"
"YEL018W","Eaf5p","PR02067","PROTEINEAF5; Chromatin modification-related protein EAF5","75","89","PRINTS","1963601"
"YEL018W","Eaf5p","PR02067","PROTEINEAF5; Chromatin modification-related protein EAF5","180","196","PRINTS","1963602"
"YEL018W","Eaf5p","PR02067","PROTEINEAF5; Chromatin modification-related protein EAF5","224","241","PRINTS","1963603"
"YEL018W","Eaf5p","PR02067","PROTEINEAF5; Chromatin modification-related protein EAF5","263","279","PRINTS","1963604"
"YEL019C","Mms21p","G3DSA:1.25.40.240","","18","149","GENE3D","1959818"
"YEL019C","Mms21p","G3DSA:3.30.40.10","Zinc finger, RING/FYVE/PHD-type","177","265","GENE3D","1959819"
"YEL019C","Mms21p","PF11789","zf-Nse; Zinc finger, MIZ-type","171","227","Pfam","1959820"
"YEL019C","Mms21p","PS51044","ZF_SP_RING; Zinc finger, MIZ-type","169","246","PROSITE","1959821"
"YEL019C","Mms21p","PTHR21330","E3 SUMO-protein ligase Nse2 (Mms21)","22","264","PANTHER","1959822"
"YEL019C","Mms21p","SSF57850","","180","246","SUPERFAMILY","1959823"
"YEL020C","Pxp1p","G3DSA:3.40.50.1220","DHS-like NAD/FAD-binding domain","187","350","GENE3D","1963589"
"YEL020C","Pxp1p","G3DSA:3.40.50.970","","1","184","GENE3D","1963590"
"YEL020C","Pxp1p","G3DSA:3.40.50.970","","351","559","GENE3D","1963591"
"YEL020C","Pxp1p","PF00205","TPP_enzyme_M; Thiamine pyrophosphate enzyme, central domain","195","327","Pfam","1963592"
"YEL020C","Pxp1p","PF02775","TPP_enzyme_C; Thiamine pyrophosphate enzyme, C-terminal TPP-binding","393","540","Pfam","1963593"
"YEL020C","Pxp1p","PF02776","TPP_enzyme_N; Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain","4","166","Pfam","1963594"
"YEL020C","Pxp1p","PS00187","TPP_ENZYMES; TPP-binding enzyme, conserved site","429","448","PROSITE","1963595"
"YEL020C","Pxp1p","PTHR43710","","4","557","PANTHER","1963596"
"YEL020C","Pxp1p","PTHR43710:SF3","","4","557","PANTHER","1963597"
"YEL020C","Pxp1p","SSF52467","DHS-like NAD/FAD-binding domain","190","352","SUPERFAMILY","1963598"
"YEL020C","Pxp1p","SSF52518","Thiamin diphosphate-binding fold","1","168","SUPERFAMILY","1963599"
"YEL020C","Pxp1p","SSF52518","Thiamin diphosphate-binding fold","369","554","SUPERFAMILY","1963600"
"YEL020W-A","Tim9p","G3DSA:1.10.287.810","","1","84","GENE3D","1939192"
"YEL020W-A","Tim9p","PF02953","zf-Tim10_DDP; Tim10/DDP family zinc finger","14","76","Pfam","1939193"
"YEL020W-A","Tim9p","PTHR10898","","2","72","PANTHER","1939194"
"YEL020W-A","Tim9p","SSF144122","Tim10/DDP family zinc finger","20","84","SUPERFAMILY","1939195"
"YEL021W","Ura3p","G3DSA:3.20.20.70","Aldolase-type TIM barrel","1","265","GENE3D","1940105"
"YEL021W","Ura3p","PF00215","OMPdecase; Orotidine 5&apos;-phosphate decarboxylase domain","30","251","Pfam","1940106"
"YEL021W","Ura3p","PS00156","OMPDECASE; Orotidine 5&apos;-phosphate decarboxylase, active site","88","101","PROSITE","1940107"
"YEL021W","Ura3p","PTHR19278","","4","263","PANTHER","1940108"
"YEL021W","Ura3p","PTHR19278:SF48","","4","263","PANTHER","1940109"
"YEL021W","Ura3p","SM00934","OMPdecase; Orotidine 5&apos;-phosphate decarboxylase domain","31","250","SMART","1940110"
"YEL021W","Ura3p","SSF51366","Ribulose-phosphate binding barrel","3","264","SUPERFAMILY","1940111"
"YEL021W","Ura3p","TIGR01740","pyrF; Orotidine 5&apos;-phosphate decarboxylase","32","252","TIGRFAM","1940112"
"YEL022W","Gea2p","G3DSA:1.10.1000.11","Sec7 domain, alpha orthogonal bundle","633","766","GENE3D","1963580"
"YEL022W","Gea2p","G3DSA:1.10.220.20","","546","632","GENE3D","1963581"
"YEL022W","Gea2p","PF01369","Sec7; Sec7 domain","559","756","Pfam","1963582"
"YEL022W","Gea2p","PF12783","Sec7_N; Guanine nucleotide exchange factor, N-terminal","339","493","Pfam","1963583"
"YEL022W","Gea2p","PS50190","SEC7; Sec7 domain","552","754","PROSITE","1963584"
"YEL022W","Gea2p","PTHR10663","","67","1451","PANTHER","1963585"
"YEL022W","Gea2p","PTHR10663:SF238","","67","1451","PANTHER","1963586"
"YEL022W","Gea2p","SM00222","Sec7; Sec7 domain","556","756","SMART","1963587"
"YEL022W","Gea2p","SSF48425","Sec7 domain","552","759","SUPERFAMILY","1963588"
"YEL023C","Yel023Cp","PF09994","DUF2235; Domain of unknown function DUF2235","32","415","Pfam","1963577"
"YEL023C","Yel023Cp","PTHR33840","","17","681","PANTHER","1963578"
"YEL023C","Yel023Cp","PTHR33840:SF7","","17","681","PANTHER","1963579"
"YEL024W","Rip1p","G3DSA:1.20.5.270","Ubiquinol cytochrome reductase, transmembrane domain","33","76","GENE3D","1942173"
"YEL024W","Rip1p","G3DSA:2.102.10.10","Rieske [2Fe-2S] iron-sulphur domain","77","215","GENE3D","1942174"
"YEL024W","Rip1p","PF00355","Rieske; Rieske [2Fe-2S] iron-sulphur domain","146","202","Pfam","1942175"
"YEL024W","Rip1p","PF02921","UCR_TM; Ubiquinol cytochrome reductase, transmembrane domain","32","87","Pfam","1942176"
"YEL024W","Rip1p","PR00162","RIESKE; Rieske iron-sulphur protein, C-terminal","154","165","PRINTS","1942177"
"YEL024W","Rip1p","PR00162","RIESKE; Rieske iron-sulphur protein, C-terminal","176","188","PRINTS","1942178"
"YEL024W","Rip1p","PR00162","RIESKE; Rieske iron-sulphur protein, C-terminal","188","200","PRINTS","1942179"
"YEL024W","Rip1p","PS51296","RIESKE; Rieske [2Fe-2S] iron-sulphur domain","123","214","PROSITE","1942180"
"YEL024W","Rip1p","PTHR10134","Rieske iron-sulphur protein","23","215","PANTHER","1942181"
"YEL024W","Rip1p","PTHR10134:SF15","","23","215","PANTHER","1942182"
"YEL024W","Rip1p","SSF50022","Rieske [2Fe-2S] iron-sulphur domain","78","214","SUPERFAMILY","1942183"
"YEL024W","Rip1p","SSF81502","","31","86","SUPERFAMILY","1942184"
"YEL024W","Rip1p","TIGR01416","Rieske_proteo; Ubiquinol-cytochrome c reductase, iron-sulphur subunit","58","214","TIGRFAM","1942185"
"YEL025C","Yel025Cp","G3DSA:2.130.10.10","WD40/YVTN repeat-like-containing domain","559","1142","GENE3D","1963573"
"YEL025C","Yel025Cp","SSF50978","WD40-repeat-containing domain","565","704","SUPERFAMILY","1963574"
"YEL025C","Yel025Cp","SSF50978","WD40-repeat-containing domain","838","911","SUPERFAMILY","1963575"
"YEL025C","Yel025Cp","SSF50978","WD40-repeat-containing domain","1005","1041","SUPERFAMILY","1963576"
"YEL026W","Snu13p","G3DSA:3.30.1330.30","50S ribosomal protein L30e-like","1","126","GENE3D","1963559"
"YEL026W","Snu13p","PF01248","Ribosomal_L7Ae; Ribosomal protein L7Ae/L30e/S12e/Gadd45","19","110","Pfam","1963560"
"YEL026W","Snu13p","PR00881","L7ARS6FAMILY; Ribosomal protein L7Ae/L8/Nhp2 family","33","47","PRINTS","1963561"
"YEL026W","Snu13p","PR00881","L7ARS6FAMILY; Ribosomal protein L7Ae/L8/Nhp2 family","52","65","PRINTS","1963562"
"YEL026W","Snu13p","PR00881","L7ARS6FAMILY; Ribosomal protein L7Ae/L8/Nhp2 family","68","78","PRINTS","1963563"
"YEL026W","Snu13p","PR00881","L7ARS6FAMILY; Ribosomal protein L7Ae/L8/Nhp2 family","78","92","PRINTS","1963564"
"YEL026W","Snu13p","PR00883","NUCLEARHMG; H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote","6","19","PRINTS","1963565"
"YEL026W","Snu13p","PR00883","NUCLEARHMG; H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote","19","34","PRINTS","1963566"
"YEL026W","Snu13p","PR00883","NUCLEARHMG; H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote","36","46","PRINTS","1963567"
"YEL026W","Snu13p","PR00883","NUCLEARHMG; H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote","80","92","PRINTS","1963568"
"YEL026W","Snu13p","PS01082","RIBOSOMAL_L7AE; Ribosomal protein L7Ae conserved site","71","88","PROSITE","1963569"
"YEL026W","Snu13p","PTHR23105","","4","126","PANTHER","1963570"
"YEL026W","Snu13p","PTHR23105:SF93","","4","126","PANTHER","1963571"
"YEL026W","Snu13p","SSF55315","50S ribosomal protein L30e-like","4","124","SUPERFAMILY","1963572"
"YEL027W","Vma3p","G3DSA:1.20.120.610","","1","154","GENE3D","1949990"
"YEL027W","Vma3p","PF00137","ATP-synt_C; V-ATPase proteolipid subunit C-like domain","15","73","Pfam","1949991"
"YEL027W","Vma3p","PF00137","ATP-synt_C; V-ATPase proteolipid subunit C-like domain","91","150","Pfam","1949992"
"YEL027W","Vma3p","PR00122","VACATPASE; V-ATPase proteolipid subunit","28","52","PRINTS","1949993"
"YEL027W","Vma3p","PR00122","VACATPASE; V-ATPase proteolipid subunit","54","78","PRINTS","1949994"
"YEL027W","Vma3p","PR00122","VACATPASE; V-ATPase proteolipid subunit","102","128","PRINTS","1949995"
"YEL027W","Vma3p","PR00122","VACATPASE; V-ATPase proteolipid subunit","129","152","PRINTS","1949996"
"YEL027W","Vma3p","PTHR10263","","2","152","PANTHER","1949997"
"YEL027W","Vma3p","PTHR10263:SF30","","2","152","PANTHER","1949998"
"YEL027W","Vma3p","SSF81333","V-ATPase proteolipid subunit C-like domain","11","76","SUPERFAMILY","1949999"
"YEL027W","Vma3p","SSF81333","V-ATPase proteolipid subunit C-like domain","84","151","SUPERFAMILY","1950000"
"YEL027W","Vma3p","TIGR01100","V_ATP_synt_C; V-ATPase proteolipid subunit C, eukaryotic","11","116","TIGRFAM","1950001"
"YEL029C","Bud16p","G3DSA:3.40.1190.20","Ribokinase-like","1","306","GENE3D","1963553"
"YEL029C","Bud16p","PF08543","Phos_pyr_kin; Pyridoxamine kinase/Phosphomethylpyrimidine kinase","79","234","Pfam","1963554"
"YEL029C","Bud16p","PTHR10534","Pyridoxine kinase","1","311","PANTHER","1963555"
"YEL029C","Bud16p","PTHR10534:SF7","","1","311","PANTHER","1963556"
"YEL029C","Bud16p","SSF53613","Ribokinase-like","1","301","SUPERFAMILY","1963557"
"YEL029C","Bud16p","TIGR00687","pyridox_kin; Pyridoxine kinase","3","274","TIGRFAM","1963558"
"YEL030W","Ecm10p","G3DSA:1.20.1270.10","Heat shock protein 70kD, C-terminal domain","536","640","GENE3D","1963528"
"YEL030W","Ecm10p","G3DSA:2.60.34.10","Heat shock protein 70kD, peptide-binding domain","405","535","GENE3D","1963529"
"YEL030W","Ecm10p","G3DSA:3.30.420.40","","27","220","GENE3D","1963530"
"YEL030W","Ecm10p","G3DSA:3.30.420.40","","221","386","GENE3D","1963531"
"YEL030W","Ecm10p","MF_00332","DnaK; Chaperone DnaK","26","637","HAMAP","1963532"
"YEL030W","Ecm10p","PF00012","HSP70; Heat shock protein 70 family","29","629","Pfam","1963533"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","28","41","PRINTS","1963534"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","56","68","PRINTS","1963535"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","79","87","PRINTS","1963536"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","163","183","PRINTS","1963537"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","222","232","PRINTS","1963538"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","354","370","PRINTS","1963539"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","385","405","PRINTS","1963540"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","408","427","PRINTS","1963541"
"YEL030W","Ecm10p","PR00301","HEATSHOCK70; Heat shock protein 70 family","489","505","PRINTS","1963542"
"YEL030W","Ecm10p","PS00297","HSP70_1; Heat shock protein 70, conserved site","32","39","PROSITE","1963543"
"YEL030W","Ecm10p","PS00329","HSP70_2; Heat shock protein 70, conserved site","216","229","PROSITE","1963544"
"YEL030W","Ecm10p","PS01036","HSP70_3; Heat shock protein 70, conserved site","357","371","PROSITE","1963545"
"YEL030W","Ecm10p","PTHR19375","","14","606","PANTHER","1963546"
"YEL030W","Ecm10p","PTHR19375:SF298","","14","606","PANTHER","1963547"
"YEL030W","Ecm10p","SSF100920","Heat shock protein 70kD, peptide-binding domain","404","559","SUPERFAMILY","1963548"
"YEL030W","Ecm10p","SSF100934","Heat shock protein 70kD, C-terminal domain","527","630","SUPERFAMILY","1963549"
"YEL030W","Ecm10p","SSF53067","","29","209","SUPERFAMILY","1963550"
"YEL030W","Ecm10p","SSF53067","","211","402","SUPERFAMILY","1963551"
"YEL030W","Ecm10p","TIGR02350","prok_dnaK; Chaperone DnaK","29","629","TIGRFAM","1963552"
"YEL031W","Spf1p","G3DSA:1.20.1110.10","","374","497","GENE3D","1963503"
"YEL031W","Spf1p","G3DSA:1.20.1110.10","","702","1197","GENE3D","1963504"
"YEL031W","Spf1p","G3DSA:2.70.150.10","","215","373","GENE3D","1963505"
"YEL031W","Spf1p","G3DSA:3.40.1110.10","P-type ATPase, cytoplasmic domain N","506","672","GENE3D","1963506"
"YEL031W","Spf1p","PF00122","E1-E2_ATPase","253","464","Pfam","1963507"
"YEL031W","Spf1p","PF00702","Hydrolase","481","712","Pfam","1963508"
"YEL031W","Spf1p","PR00119","CATATPASE","303","317","PRINTS","1963509"
"YEL031W","Spf1p","PR00119","CATATPASE","485","499","PRINTS","1963510"
"YEL031W","Spf1p","PR00119","CATATPASE","689","699","PRINTS","1963511"
"YEL031W","Spf1p","PR00119","CATATPASE","814","833","PRINTS","1963512"
"YEL031W","Spf1p","PS00154","ATPASE_E1_E2; P-type ATPase, phosphorylation site","487","493","PROSITE","1963513"
"YEL031W","Spf1p","PS01229","COF_2","814","836","PROSITE","1963514"
"YEL031W","Spf1p","PTHR24093","","51","1187","PANTHER","1963515"
"YEL031W","Spf1p","PTHR24093:SF402","","51","1187","PANTHER","1963516"
"YEL031W","Spf1p","SSF56784","HAD-like domain","481","496","SUPERFAMILY","1963517"
"YEL031W","Spf1p","SSF56784","HAD-like domain","624","724","SUPERFAMILY","1963518"
"YEL031W","Spf1p","SSF56784","HAD-like domain","784","839","SUPERFAMILY","1963519"
"YEL031W","Spf1p","SSF81653","P-type ATPase, A  domain","253","384","SUPERFAMILY","1963520"
"YEL031W","Spf1p","SSF81660","P-type ATPase, cytoplasmic domain N","491","678","SUPERFAMILY","1963521"
"YEL031W","Spf1p","SSF81665","P-type ATPase,  transmembrane domain","170","255","SUPERFAMILY","1963522"
"YEL031W","Spf1p","SSF81665","P-type ATPase,  transmembrane domain","386","479","SUPERFAMILY","1963523"
